483631,Comedy ,nm1227152 nm0219752 nm2058848 nm1036889 ,2006,nm0301428 ,English,USA,Silver,,,
245712,Drama Thriller ,nm0248408 nm0305558 nm0865949 nm0346270 ,6/16/2000,nm0327944 ,Spanish,Mexico,A horrific car accident connects three stories,,,
806686,Drama Romance Thriller ,nm0396125 nm0834479 nm1091185 nm0458460 ,5/16/2008,nm0678857 ,German,Germany,Yella is estranged from her possessive and violent husband; but he can't quite bring himself to give her up. When their fraught interaction finally comes to dramatic conclusion,,,
1109478,Action Adventure Horror Thriller ,nm1271759 nm0222088 nm0684500 nm1779714 ,4/22/2009,nm1213552 nm0857701 ,English French,France Switzerland Luxembourg,A team of several researchers travel to the Swiss Alps to investigate a scientific discovery on human evolution.,,,
1308756,Documentary ,nm3016211 nm0774737 nm0128916 nm0885345 ,3/8/2013,nm0225035 ,English,USA,A documentary on Arnel Pineda,,,
99055,Adventure Family Fantasy ,nm0587871 nm0528448 nm0331497 nm0029988 ,,nm0089276 nm0609109 ,English,Canada,Two children are teleported to a magical island and search for the giant Argon to save it.,,,
338348,Animation Adventure Family Fantasy ,nm0000158 nm0178875 nm0005052 nm0366667 ,11/10/2004,nm0000709 ,English,USA,On Christmas Eve,,,
1653700,Action Thriller ,nm1527905 nm3377137 nm0192889 nm0858500 ,4/29/2011,nm0394024 ,English,UK,A soldier returning from the war in Afghanistan uncovers a conspiracy involving the intelligence services and a gang of drug dealers.,,,
481254,Biography Drama History ,nm0683501 nm0210655 nm0495075 nm0096542 ,8/4/2006,nm0722109 ,Portuguese English,Brazil,Based on the true story of Zuzu Angel,,,
488120,Crime Drama Mystery Thriller ,nm0000164 nm0331516 nm0000657 nm0683253 ,4/20/2007,nm0387706 ,English,USA Germany,An attorney intent on climbing the career ladder toward success,,,
361693,Comedy Drama Music Thriller ,nm0001435 nm0176869 nm0350454 nm0103038 ,8/5/2005,nm0740400 ,English,USA,Happy Endings weaves multiple stories to create a witty look at love,,,
361696,Family Music Romance ,nm0240381 nm0179173 nm0000360 nm1268888 ,10/8/2004,nm0573732 ,English French,USA,A girl from a small town heads to the big city of Los Angeles to spend the summer at a performing arts high school.,,,
1456472,Comedy Drama ,nm0681566 nm0604335 nm0836136 nm0769237 ,4/15/2011,nm0604335 ,Italian German Latin English Spanish Polish French,Italy France,A story centered on the relationship between the newly elected Pope and his therapist.,,,
374294,Drama Thriller ,nm0225766 nm0719570 nm0163250 nm0544297 ,3/17/2004,nm0006445 ,French Russian German Greek,France Italy Spain Greece Russia,France,,,
114671,Drama War ,nm0001324 nm0665082 nm0093081 nm0319680 ,3/22/1996,nm0516360 ,English Spanish Catalan,UK Spain Germany Italy,Spring 1936,,,
38363,Comedy Fantasy ,nm0001322 nm0191870 nm0358723 nm0751983 ,5/14/1945,nm0000180 ,English,UK,Adapted from a play by Noel Coward,,,
451803,Comedy Drama Romance ,nm0006795 nm0784047 nm1229940 nm0451326 ,7/15/2005,nm0223522 ,Hindi,India,Samir is a very successful doctor: He not only looks after his patient's various maladies,,,
838192,Comedy ,nm0783124 nm1921479 nm0461210 nm0909515 ,8/9/2007,nm1190799 ,German,Germany,,,,
138941,Short Documentary ,nm0104131 nm1388607 nm0104132 ,,nm0104132 ,,,,,,
138946,Crime Drama Romance Thriller ,nm0000242 nm0001618 nm0000234 nm0001001 ,4/27/2000,nm0336695 ,English Spanish,USA,In the rail yards of Queens,,,
1425257,Action Drama History ,nm0158414 nm0955782 nm0648499 nm1507882 ,2/9/2010,nm0950759 ,Mandarin,China,Su Qi-Er retired from his life as a renowned Qing dynasty general in order to pursue his dream of a family and his own martial arts school...,,,
23613,Comedy Short ,nm0491048 nm0001316 nm0317970 ,12/31/1932,nm0550892 ,English,USA,Although they are successful fishmongers,,,
363143,Drama Horror Mystery Thriller ,nm0000147 nm0365140 nm0240524 nm1580945 ,9/17/2004,nm0263009 ,English,UK,Awaking from a coma to discover his wife has been killed in a car accident,,,
281820,Crime Drama Thriller ,nm0000560 nm0000146 nm0474333 nm0256075 ,2/28/2003,nm0001403 ,English,France UK Ireland Canada,An aging gambler on a losing streak attempts to rob a casino in Monte Carlo. But someone's already tipped off the cops before he even makes a move.,,,
1425253,Horror ,nm1272606 nm1675534 nm2684642 nm0178875 ,5/14/2010,nm2508341 ,English,Italy,When a young soldier leaves for a mountain biking excursion,,,
29671,Crime Drama Thriller ,nm0805532 nm0913248 nm0852834 nm0168168 ,1937-10,nm0454734 ,English,UK,"A man is accused of a series of murders that were actually committed by a crazed killer called ""The Tiger."" He must prove his innocence and catch the murderer.",,,
1533013,Drama ,nm0790688 nm0004742 nm0973177 nm4480806 ,11/4/2011,nm0473329 ,English,USA Canada,A married couple on the verge of separation are leveled by the news their 18-year-old son committed a mass shooting at his college,,,
454839,Horror Thriller ,nm0104504 nm0173434 nm1895545 nm2856895 ,,nm1899220 nm0556573 ,English,UK,After dating a wonderful man,,,
50419,Comedy Musical Romance ,nm0000030 nm0000001 nm0860373 nm0041509 ,2/13/1957,nm0002045 ,English French,USA,An impromptu fashion shoot at a book store brings about a new fashion model discovery in the shop clerk.,,,
101507,Crime Drama ,nm0000421 nm0000401 nm0015677 nm0042998 ,7/12/1991,nm0005436 ,English,USA,Saga of a group of childhood friends growing up in a Los Angeles ghetto.,,,
