0101272	Comedy Fantasy 	nm0001378 nm0000471 nm0000502 nm0000445 	1991-11-22	nm0001756 	English	USA	Con artists plan to fleece the eccentric family using an accomplice who claims to be their long lost Uncle Fester.
2403029	Comedy Sci-Fi 	nm2118666 nm2301213 nm2421367 nm0101242 	2013-10-31	nm0294997 nm0783536 	English	USA	In this Hunger Games spoof, Kantmiss Evershot must fight for her life in the 75th annual Starving Games, where she could also win an old ham, a coupon for a foot-long sub, and a partially eaten pickle.
0103957	Horror 	nm0000947 nm0217938 nm0000371 nm0572394 		nm0709752 	English	USA	A schoolteacher teams up with with a priest to stop a town being overrun by vampires.
0103956	Horror Mystery Thriller 	nm0923529 nm0716275 nm0843199 nm0003910 	1991-08-30	nm0070474 	English	UK USA	Chucky, the doll possessed by a serial killer, returns for revenge against Andy, the young boy that defeated him and has since become adult.
1855152	Documentary Sport 	nm0000191 	2013-05-22	nm0623715 	English	UK	CHARGE captures a pivotal moment in motor sport history: the advent of high-speed, zero-emissions racing...
0099073	Drama 	nm0001644 nm0001610 nm0297249 nm0072126 	1990-10-05	nm0001469 	English Yiddish	USA	A Polish-Jewish family comes to the USA at the beginning of the Twentieth Century. There, the family and their children try to make themselves a better future in the so-called promised land.
0120363	Animation Adventure Comedy Family Fantasy 	nm0000158 nm0000741 nm0000349 nm0001288 	1999-11-24	nm0005124 nm0105169 	English Arabic	USA	When Woody is stolen by a toy collector, Buzz and his friends vow to rescue him, but Woody finds the idea of immortality in a museum tempting.
0961097	Animation Adventure Comedy Fantasy Music 	nm1342060 nm0660854 nm0255362 nm0167388 	2011-10-12	nm0074426 	French English	France	A 3D-animated movie set in Paris in the year 1910 and centered on a monster who lives in a garden and his love for a beautiful, young singer. Paris.
0099077	Biography Drama 	nm0000134 nm0000245 nm0001413 nm0625724 	1990-12-20	nm0001508 	English	USA	The victims of an encephalitis epidemic many years ago have been catatonic ever since, but now a new drug offers the prospect of reviving them.
0419294	Adventure Crime Drama Mystery Western 	nm0000169 nm0001608 nm0948267 nm0005064 	2006-02-03	nm0000169 	English Spanish	USA France	Ranch hand Pete Perkins looks to fulfill the promise to his recently deceased best friend by burying him in his hometown in Mexico.
2002718	Action Crime Thriller 	nm0001803 nm0891786 nm0000154 nm0004695 	2013-10-11	nm0001675 	English Spanish	Russia USA	The U.S. government recruits Machete to battle his way through Mexico in order to take down an arms dealer who looks to launch a weapon into space.
2359427	Documentary Biography Sport 	nm4907752 nm0196654 nm1495244 nm5604766 	2013-10-02	nm1456609 	English Mandarin	USA	The life story of basketball sensation, Jeremy Lin.
2211808	Comedy 	nm0347300 nm1795849 nm0900612 nm0668551 	2013-08-30	nm1897437 nm0285040 	Portuguese	Brazil	
